PERSON_ID,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER
203145,Kent Bazemore,Lakers,Guard-Forward,195,88.45,USA,1989-07-01,9,Undrafted
1629647,Darius Bazley,Thunder,Forward,207,94.35,USA,2000-06-12,2,23
203078,Bradley Beal,Wizards,Guard,195,93.89,USA,1993-06-28,9,3
1627736,Malik Beasley,Timberwolves,Guard,195,84.82,USA,1996-11-26,5,19
202722,Davis Bertans,Mavericks,Forward,185,102.06,Latvia,1992-11-12,5,42
201976,Patrick Beverley,Timberwolves,Guard,185,81.65,USA,1988-07-12,9,42
1630180,Saddiq Bey,Pistons,Forward,204,97.52,USA,1999-04-09,1,19
203920,Khem Birch,Raptors,Center,210,105.69,Canada,1992-09-28,4,Undrafted
1629048,Goga Bitadze,Pacers,Center-Forward,213,113.4,Georgia,1999-07-20,2,18
202687,Bismack Biyombo,Suns,Center,207,115.67,DRC,1992-08-28,10,7
202357,Nemanja Bjelica,Warriors,Forward,210,106.14,Serbia,1988-05-09,6,35
202339,Eric Bledsoe,Trail Blazers,Guard,185,97.07,USA,1989-12-09,11,18
1629833,Keljin Blevins,Trail Blazers,Guard,195,90.72,USA,1995-11-24,1,
203992,Bogdan Bogdanovic,Hawks,Guard,201,102.06,Serbia,1992-08-18,4,27
202711,Bojan Bogdanovic,Jazz,Forward,204,102.51,Croatia,1989-04-18,7,31
1629626,Bol Bol,Magic,Center-Forward,219,99.79,Sudan,1999-11-16,2,44
1630195,Leandro Bolmaro,Timberwolves,Forward,201,90.72,Argentina,2000-09-11,0,23
1629067,Isaac Bonga,Raptors,Guard,207,81.65,Germany,1999-11-08,3,39
1626164,Devin Booker,Suns,Guard,198,93.44,USA,1996-10-30,6,13
1630527,Brandon Boston Jr.,Clippers,Guard,201,85.28,USA,2001-11-28,0,51
1628449,Chris Boucher,Raptors,Forward-Center,210,90.72,Saint Lucia,1993-01-11,4,Undrafted
1630547,James Bouknight,Hornets,Guard,195,86.18,USA,2000-09-18,0,11
202340,Avery Bradley,Lakers,Guard,192,81.65,USA,1990-11-26,11,19
1628396,Tony Bradley,Bulls,Center-Forward,185,112.49,USA,1998-01-08,4,28
1629649,Ignas Brazdeikis,Magic,Forward,201,100.24,Canada,1999-01-08,2,47
1628969,Mikal Bridges,Suns,Forward,201,94.8,USA,1996-08-30,3,10
1628970,Miles Bridges,Hornets,Forward,204,102.06,USA,1998-03-21,3,12
1629052,Oshae Brissett,Pacers,Forward-Guard,204,95.25,Canada,1998-06-20,2,Undrafted
1627763,Malcolm Brogdon,Pacers,Guard,198,103.87,USA,1992-12-11,5,36
1629717,Armoni Brooks,Raptors,Guard,192,88.45,USA,1998-06-05,1,
1628415,Dillon Brooks,Grizzlies,Guard-Forward,204,102.06,Canada,1996-01-22,4,45
1628971,Bruce Brown,Nets,Guard-Forward,195,91.63,USA,1996-08-15,3,42
1627759,Jaylen Brown,Celtics,Guard-Forward,201,101.15,USA,1996-10-24,5,3
1629650,Moses Brown,Cavaliers,Center,219,111.13,USA,1999-10-13,2,Undrafted
1628425,Sterling Brown,Mavericks,Guard-Forward,198,99.34,USA,1995-02-10,4,46
1630535,Greg Brown III,Trail Blazers,Forward,204,93.44,USA,2001-09-01,0,43
1629718,Charlie Brown Jr.,76ers,Guard,201,90.26,USA,1997-02-02,2,Undrafted
1630602,Chaundee Brown Jr.,Hawks,Forward,198,97.52,USA,1998-12-04,0,Undrafted
1628972,Troy Brown Jr.,Bulls,Guard-Forward,201,97.52,USA,1999-07-28,3,15
1628973,Jalen Brunson,Mavericks,Guard,185,86.18,USA,1996-08-31,3,33
1628418,Thomas Bryant,Wizards,Center-Forward,185,112.49,USA,1997-07-31,4,42
203493,Reggie Bullock,Mavericks,Guard-Forward,201,92.99,USA,1991-03-16,8,25
203504,Trey Burke,Mavericks,Guard,182,83.91,USA,1992-11-12,8,9
202692,Alec Burks,Knicks,Guard,201,97.07,USA,1991-07-20,10,12
1630215,Jared Butler,Jazz,Guard,192,87.54,USA,2000-08-25,0,40
202710,Jimmy Butler,Heat,Forward,204,104.33,USA,1989-09-14,10,30
1629719,Devontae Cacok,Spurs,Forward,204,108.86,USA,1996-10-08,2,Undrafted
203484,Kentavious Caldwell-Pope,Wizards,Guard,198,92.53,USA,1993-02-18,8,8
1630267,Facundo Campazzo,Nuggets,Guard,155,88.45,Argentina,1991-03-23,1,Undrafted
1628427,Vlatko Cancar,Nuggets,Forward,207,107.05,Slovenia,1997-04-10,2,49
1629962,Devin Cannady,Magic,Guard,188,83.01,USA,1996-05-21,1,
203991,Clint Capela,Hawks,Center,185,116.12,Switzerland,1994-05-18,7,25
1630176,Vernon Carey Jr.,Wizards,Forward-Center,210,122.47,USA,2001-02-25,1,32
1628975,Jevon Carter,Bucks,Guard,185,90.72,USA,1995-09-14,3,32
1628976,Wendell Carter Jr.,Magic,Center-Forward,185,122.47,USA,1999-04-16,3,7
1627936,Alex Caruso,Bulls,Guard,198,84.37,USA,1994-02-28,4,Undrafted
1630551,Justin Champagnie,Raptors,Guard-Forward,201,93.44,USA,2001-06-29,0,Undrafted
1629185,Chris Chiozza,Warriors,Guard,155,79.38,USA,1995-11-21,3,Undrafted
1627737,Marquese Chriss,Mavericks,Forward,210,108.86,USA,1997-07-02,5,8
1630528,Josh Christopher,Rockets,Guard,192,97.52,USA,2001-12-08,0,24
1629109,Gary Clark,Pelicans,Forward,201,102.06,USA,1994-11-16,3,Undrafted
1629634,Brandon Clarke,Grizzlies,Forward,207,97.52,Canada,1996-09-19,2,21
203903,Jordan Clarkson,Jazz,Guard,195,88.0,USA,1992-06-07,7,46
1629651,Nic Claxton,Nets,Forward-Center,186,97.52,USA,1999-04-17,2,31
1629599,Amir Coffey,Clippers,Guard-Forward,204,95.25,USA,1997-06-17,2,Undrafted
1628381,John Collins,Hawks,Forward-Center,210,102.51,USA,1997-09-23,4,19
1628380,Zach Collins,Spurs,Forward-Center,186,113.4,USA,1997-11-19,4,10
201144,Mike Conley,Jazz,Guard,185,79.38,USA,1987-10-11,14,4
1626192,Pat Connaughton,Bucks,Guard,198,94.8,USA,1993-01-06,6,41
1629076,Tyler Cook,Bulls,Forward,207,115.67,USA,1997-09-23,2,Undrafted
1630536,Sharife Cooper,Hawks,Guard,185,79.83,USA,2001-06-11,0,48
202326,DeMarcus Cousins,Nuggets,Center,185,122.47,USA,1990-08-13,11,5
203496,Robert Covington,Clippers,Forward,204,94.8,USA,1990-12-14,8,Undrafted
1628470,Torrey Craig,Suns,Forward,204,100.24,USA,1990-12-19,4,Undrafted
203109,Jae Crowder,Suns,Forward,201,106.59,USA,1990-07-06,9,34
1629633,Jarrett Culver,Grizzlies,Guard-Forward,201,88.45,USA,1999-02-20,2,6
1630595,Cade Cunningham,Pistons,Guard,201,99.79,USA,2001-09-25,0,1
203552,Seth Curry,Nets,Guard,188,83.91,USA,1990-08-23,8,Undrafted
201939,Stephen Curry,Warriors,Guard,188,83.91,USA,1988-03-14,12,7
203076,Anthony Davis,Lakers,Forward-Center,185,114.76,USA,1993-03-11,9,1
202334,Ed Davis,Cavaliers,Center-Forward,210,98.88,USA,1989-06-05,11,13
1629056,Terence Davis,Kings,Guard,195,91.17,USA,1997-05-16,2,Undrafted
201942,DeMar DeRozan,Bulls,Guard-Forward,201,99.79,USA,1989-08-07,12,9
203473,Dewayne Dedmon,Heat,Center,213,111.13,USA,1989-08-12,8,Undrafted
1628978,Donte DiVincenzo,Kings,Guard,195,92.08,USA,1997-01-31,3,17
1628977,Hamidou Diallo,Pistons,Guard,198,91.63,USA,1998-07-31,3,45
203476,Gorgui Dieng,Hawks,Center,185,112.49,Senegal,1990-01-18,8,21
203915,Spencer Dinwiddie,Mavericks,Guard,201,97.52,USA,1993-04-06,7,38
1629029,Luka Doncic,Mavericks,Forward-Guard,204,104.33,Slovenia,1999-02-28,3,3
1629652,Luguentz Dort,Thunder,Guard,192,97.52,Canada,1999-04-19,2,Undrafted
1630245,Ayo Dosunmu,Bulls,Guard,195,90.72,USA,2000-01-17,0,38
201609,Goran Dragic,Nets,Guard,192,86.18,Slovenia,1986-05-06,13,45
203083,Andre Drummond,Nets,Center,185,126.55,USA,1993-08-10,9,9
1630537,Chris Duarte,Pacers,Guard,198,86.18,Dominican Republic,1997-06-13,0,13
1630561,David Duke Jr.,Nets,Guard,195,92.53,USA,1999-10-13,0,Undrafted
201142,Kevin Durant,Nets,Forward,185,108.86,USA,1988-09-29,14,2
1630162,Anthony Edwards,Timberwolves,Guard,195,102.06,USA,2001-08-05,1,1
1629035,Carsen Edwards,Celtics,Guard,155,90.72,USA,1998-03-12,2,33
1630556,Kessler Edwards,Nets,Forward,204,92.08,USA,2000-08-09,0,44
1629604,CJ Elleby,Trail Blazers,Forward-Guard,201,90.72,USA,2000-06-16,1,46
201961,Wayne Ellington,Lakers,Guard,195,93.89,USA,1987-11-29,12,28
203954,Joel Embiid,76ers,Center-Forward,213,127.01,Cameroon,1994-03-16,7,3
202324,Derrick Favors,Thunder,Forward,210,120.2,USA,1991-07-15,11,3
1628981,Bruno Fernando,Rockets,Forward-Center,210,108.86,Angola,1998-08-15,2,34
1627827,Dorian Finney-Smith,Mavericks,Forward,204,99.79,USA,1993-05-04,5,Undrafted
1630238,Malik Fitts,Celtics,Forward,198,104.33,USA,1997-07-04,1,Undrafted
1630201,Malachi Flynn,Raptors,Guard,185,79.38,USA,1998-05-09,1,29
1627854,Bryn Forbes,Nuggets,Guard,188,92.99,USA,1993-07-23,5,Undrafted
1630235,Trent Forrest,Jazz,Guard,195,95.25,USA,1998-06-12,1,Undrafted
203095,Evan Fournier,Knicks,Guard-Forward,201,92.99,France,1992-10-29,9,20
1628368,De'Aaron Fox,Kings,Guard,192,83.91,USA,1997-12-20,4,5
1628982,Melvin Frazier Jr.,Magic,Guard-Forward,198,97.52,USA,1996-08-30,3,35
1628365,Markelle Fultz,Magic,Guard,195,94.8,USA,1998-05-29,4,1
1629117,Wenyen Gabriel,Lakers,Forward,210,92.99,South Sudan,1997-03-26,3,Undrafted
1629655,Daniel Gafford,Wizards,Forward-Center,210,106.14,USA,1998-10-01,2,38
201568,Danilo Gallinari,Hawks,Forward,185,107.05,Italy,1988-08-08,13,6
1629636,Darius Garland,Cavaliers,Guard,185,87.09,USA,2000-01-26,2,5
1630586,Usman Garuba,Rockets,Forward,207,103.87,Spain,2002-03-09,0,23
1630568,Luka Garza,Pistons,Center,185,110.22,USA,1998-12-27,0,52
200752,Rudy Gay,Jazz,Forward-Guard,207,113.4,USA,1986-08-17,15,8
202331,Paul George,Clippers,Forward,207,99.79,USA,1990-05-02,11,10
201959,Taj Gibson,Knicks,Forward,210,105.23,USA,1985-06-24,12,26
1630581,Josh Giddey,Thunder,Guard,207,92.99,Australia,2002-10-10,0,6
1628983,Shai Gilgeous-Alexander,Thunder,Guard,201,81.65,Canada,1998-07-12,3,11
1630264,Anthony Gill,Wizards,Forward,204,104.33,USA,1992-10-17,1,Undrafted
203497,Rudy Gobert,Jazz,Center,216,117.03,France,1992-06-26,8,27
1629164,Brandon Goodwin,Cavaliers,Guard,182,81.65,USA,1995-10-02,3,Undrafted
203932,Aaron Gordon,Nuggets,Forward,207,106.59,USA,1995-09-16,7,4
201569,Eric Gordon,Rockets,Guard,192,97.52,USA,1988-12-25,13,7
1628984,Devonte' Graham,Pelicans,Guard,185,88.45,USA,1995-02-22,3,34
203924,Jerami Grant,Pistons,Forward,207,95.25,USA,1994-03-12,7,39
201980,Danny Green,76ers,Guard,201,97.52,USA,1987-06-22,12,46
203110,Draymond Green,Warriors,Forward,201,104.33,USA,1990-03-04,9,35
203210,JaMychal Green,Nuggets,Forward-Center,207,102.97,USA,1990-06-21,7,Undrafted
1630224,Jalen Green,Rockets,Guard,195,84.37,USA,2002-02-09,0,2
1629750,Javonte Green,Bulls,Guard-Forward,198,92.99,USA,1993-07-23,2,Undrafted
201145,Jeff Green,Nuggets,Forward,207,106.59,USA,1986-08-28,14,5
1630182,Josh Green,Mavericks,Guard,198,90.72,Australia,2000-11-16,1,18
201933,Blake Griffin,Nets,Forward,210,113.4,USA,1989-03-16,12,1
1629656,Quentin Grimes,Knicks,Guard,195,95.25,USA,2000-05-08,0,25
1629060,Rui Hachimura,Wizards,Forward,207,104.33,Japan,1998-02-08,2,9
1630169,Tyrese Haliburton,Pacers,Guard,198,83.91,USA,2000-02-29,1,12
1630181,R.J. Hampton,Magic,Guard,195,79.38,USA,2001-02-07,1,24
203501,Tim Hardaway Jr.,Mavericks,Guard-Forward,198,92.99,USA,1992-03-16,8,24
201935,James Harden,76ers,Guard,198,99.79,USA,1989-08-26,12,3
203090,Maurice Harkless,Kings,Forward-Guard,204,99.79,USA,1993-05-11,9,15
1629607,Jared Harper,Pelicans,Guard,155,79.38,USA,1997-09-14,2,Undrafted
1626149,Montrezl Harrell,Hornets,Forward-Center,204,108.86,USA,1994-01-26,6,32
203914,Gary Harris,Magic,Guard,195,95.25,USA,1994-09-14,7,19
203925,Joe Harris,Nets,Guard-Forward,201,99.79,USA,1991-09-06,7,33
202699,Tobias Harris,76ers,Forward,204,102.51,USA,1992-07-15,10,19
1628404,Josh Hart,Trail Blazers,Guard,198,97.52,USA,1995-03-06,4,30
1628392,Isaiah Hartenstein,Clippers,Center-Forward,213,113.4,Germany,1998-05-05,3,43
2617,Udonis Haslem,Heat,Forward,207,106.59,USA,1980-06-09,18,Undrafted
1630573,Sam Hauser,Celtics,Forward,204,98.43,USA,1997-12-08,0,Undrafted
1629637,Jaxson Hayes,Pelicans,Center-Forward,186,99.79,USA,2000-05-23,2,8
1630165,Killian Hayes,Pistons,Guard,198,88.45,France,2001-07-27,1,7
202330,Gordon Hayward,Hornets,Forward,204,102.06,USA,1990-03-23,11,9
1627823,Juancho Hernangomez,Jazz,Forward,210,97.07,Spain,1995-09-28,5,15
1626195,Willy Hernangomez,Pelicans,Center-Forward,186,113.4,Spain,1994-05-27,5,35
1629639,Tyler Herro,Heat,Guard,198,88.45,USA,2000-01-20,2,13
1627741,Buddy Hield,Pacers,Guard,195,99.79,Bahamas,1992-12-17,5,6
1629312,Haywood Highsmith,Heat,Forward,195,99.79,USA,1996-12-09,3,
201588,George Hill,Bucks,Guard,195,85.28,USA,1986-05-04,13,26
1630792,Malcolm Hill,Bulls,Forward,201,99.79,USA,1995-10-26,0,Undrafted
1630207,Nate Hinton,Pacers,Guard-Forward,198,95.25,USA,1999-06-08,1,Undrafted
1628988,Aaron Holiday,Suns,Guard,182,83.91,USA,1996-09-30,3,23
201950,Jrue Holiday,Bucks,Guard,192,92.99,USA,1990-06-12,12,17
203200,Justin Holiday,Kings,Forward-Guard,201,81.65,USA,1989-04-05,9,Undrafted
1626158,Richaun Holmes,Kings,Forward,185,106.59,USA,1993-10-15,6,37
203918,Rodney Hood,Clippers,Guard-Forward,207,94.35,USA,1992-10-20,7,23
201143,Al Horford,Celtics,Center-Forward,210,108.86,Dominican Republic,1986-06-03,14,3
1629659,Talen Horton-Tucker,Lakers,Guard,195,106.14,USA,2000-11-25,2,46
1627863,Danuel House Jr.,Jazz,Forward-Guard,201,99.79,USA,1993-06-07,5,Undrafted
2730,Dwight Howard,Lakers,Center-Forward,185,120.2,USA,1985-12-08,17,1
1630210,Markus Howard,Nuggets,Guard,155,79.38,USA,1999-03-03,1,Undrafted
1628989,Kevin Huerter,Hawks,Guard-Forward,204,89.81,USA,1998-08-27,3,19
1630190,Elijah Hughes,Trail Blazers,Guard,198,97.52,USA,1998-03-10,1,39
1630624,Feron Hunt,Knicks,Forward,207,88.45,USA,1999-07-05,0,Undrafted
1629631,De'Andre Hunter,Hawks,Forward-Guard,207,100.24,USA,1997-12-02,2,4
1630538,Bones Hyland,Nuggets,Guard,188,76.66,USA,2000-09-14,0,26
201586,Serge Ibaka,Bucks,Forward,185,106.59,Republic of the Congo,1989-09-18,12,24
2738,Andre Iguodala,Warriors,Guard-Forward,201,97.52,USA,1984-01-28,17,9
204060,Joe Ingles,Trail Blazers,Forward-Guard,207,99.79,Australia,1987-10-02,7,Undrafted
1627742,Brandon Ingram,Pelicans,Forward,207,86.18,USA,1997-09-02,5,2
202681,Kyrie Irving,Nets,Guard,188,88.45,Australia,1992-03-23,10,1
1628371,Jonathan Isaac,Magic,Forward,185,104.33,USA,1997-10-03,4,6
1628402,Frank Jackson,Pistons,Guard,192,92.99,USA,1998-05-04,4,31
1630543,Isaiah Jackson,Pacers,Forward,185,92.99,USA,2002-01-10,0,22
1628367,Josh Jackson,Kings,Guard-Forward,207,93.89,USA,1997-02-10,4,4
202704,Reggie Jackson,Clippers,Guard,188,94.35,USA,1990-04-16,10,24
1628991,Jaren Jackson Jr.,Grizzlies,Forward-Center,186,109.77,USA,1999-09-15,3,4
2544,LeBron James,Lakers,Forward,210,113.4,USA,1984-12-30,18,1
1629660,Ty Jerome,Thunder,Guard-Forward,198,88.45,USA,1997-07-08,2,24
1630198,Isaiah Joe,76ers,Guard,195,74.84,USA,1999-07-02,1,49
1629661,Cameron Johnson,Suns,Forward,207,95.25,USA,1996-03-03,2,11
1630525,David Johnson,Raptors,Guard,195,92.08,USA,2001-02-26,0,47
1630552,Jalen Johnson,Hawks,Forward,207,99.34,USA,2001-12-18,0,20
1629640,Keldon Johnson,Spurs,Forward-Guard,201,99.79,USA,1999-10-11,2,29
1630553,Keon Johnson,Trail Blazers,Guard,195,83.91,USA,2002-03-10,0,21
1626169,Stanley Johnson,Lakers,Forward-Guard,201,109.77,USA,1996-05-29,6,8
203999,Nikola Jokic,Nuggets,Center,186,128.82,Serbia,1995-02-19,6,41
1627745,Damian Jones,Kings,Center,186,111.13,USA,1995-06-30,5,30
1630529,Herbert Jones,Pelicans,Forward,204,93.44,USA,1998-10-06,0,35
1630539,Kai Jones,Hornets,Center-Forward,185,100.24,Bahamas,2001-01-19,0,19
1630222,Mason Jones,Lakers,Guard,195,90.72,USA,1998-07-21,1,Undrafted
1630200,Tre Jones,Spurs,Guard,185,83.91,USA,2000-01-08,1,41
1626145,Tyus Jones,Grizzlies,Guard,182,88.9,USA,1996-05-10,6,24
1627884,Derrick Jones Jr.,Bulls,Forward,201,95.25,USA,1997-02-15,5,Undrafted
201599,DeAndre Jordan,76ers,Center,186,120.2,USA,1988-07-21,13,35
202709,Cory Joseph,Pistons,Guard,192,90.72,Canada,1991-08-20,10,29
1628379,Luke Kennard,Clippers,Guard,198,93.44,USA,1996-06-24,4,12
1630296,Braxton Key,Pistons,Forward,207,102.06,USA,1997-02-14,0,Undrafted
1630557,Corey Kispert,Wizards,Forward,201,101.6,USA,1999-03-03,0,15
1628467,Maxi Kleber,Mavericks,Forward,185,108.86,Germany,1992-01-29,4,Undrafted
1630233,Nathan Knight,Timberwolves,Forward-Center,185,114.76,USA,1997-09-20,1,Undrafted
1628995,Kevin Knox II,Hawks,Forward,204,97.52,USA,1999-08-11,3,9
1629723,John Konchar,Grizzlies,Guard,198,95.25,USA,1996-03-22,2,Undrafted
1627788,Furkan Korkmaz,76ers,Guard-Forward,204,91.63,Turkey,1997-07-24,4,26
1628436,Luke Kornet,Celtics,Center-Forward,219,113.4,USA,1995-07-15,4,Undrafted
1630249,Vit Krejci,Thunder,Guard,207,88.45,Czech Republic,2000-06-19,0,37
1629083,Arnoldas Kulboka,Hornets,Forward,185,94.8,Lithuania,1998-01-04,0,55
1630228,Jonathan Kuminga,Warriors,Forward,204,102.06,DRC,2002-10-06,0,7
1628398,Kyle Kuzma,Wizards,Forward,210,100.24,USA,1995-07-24,4,27
203897,Zach LaVine,Bulls,Guard-Forward,198,90.72,USA,1995-03-10,7,13
1630237,Anthony Lamb,Rockets,Forward,201,102.97,USA,1998-01-20,1,Undrafted
203087,Jeremy Lamb,Kings,Guard-Forward,198,81.65,USA,1992-05-30,9,12
1629111,Jock Landale,Spurs,Center,186,115.67,Australia,1995-10-25,0,Undrafted
1629641,Romeo Langford,Spurs,Guard-Forward,198,97.98,USA,1999-10-25,2,14
1627774,Jake Layman,Timberwolves,Forward,207,94.8,USA,1994-03-07,5,47
1627747,Caris LeVert,Cavaliers,Guard,201,92.99,USA,1994-08-25,5,20
1627814,Damion Lee,Warriors,Guard-Forward,198,95.25,USA,1992-10-21,4,Undrafted
1630240,Saben Lee,Pistons,Guard,188,83.01,USA,1999-06-23,1,38
203458,Alex Len,Kings,Center,213,113.4,Ukraine,1993-06-16,8,5
202695,Kawhi Leonard,Clippers,Forward,204,102.06,USA,1991-06-29,10,15
1630575,Scottie Lewis,Hornets,Guard,198,83.91,USA,2000-03-12,0,56
1630184,Kira Lewis Jr.,Pelicans,Guard,185,77.11,USA,2001-04-06,1,13
203081,Damian Lillard,Trail Blazers,Guard,188,88.45,USA,1990-07-15,9,6
1629642,Nassir Little,Trail Blazers,Forward-Guard,198,99.79,USA,2000-02-11,2,25
1630587,Isaiah Livers,Pistons,Forward,201,105.23,USA,1998-07-28,0,42
1626172,Kevon Looney,Warriors,Forward,210,100.7,USA,1996-02-06,6,30
201572,Brook Lopez,Bucks,Center,213,127.91,USA,1988-04-01,13,10
201577,Robin Lopez,Magic,Center,213,127.46,USA,1988-04-01,13,15
1629712,Didi Louzada,Trail Blazers,Guard,198,85.28,Brazil,1999-07-02,1,35
201567,Kevin Love,Cavaliers,Forward-Center,207,113.85,USA,1988-09-07,13,5
200768,Kyle Lowry,Heat,Guard,182,88.9,USA,1986-03-25,15,24
1630994,Gabriel Lundberg,Suns,Guard,195,92.08,Denmark,1994-12-04,0,Undrafted
1627789,Timothe Luwawu-Cabarrot,Hawks,Guard-Forward,204,97.52,France,1995-05-09,5,24
1626168,Trey Lyles,Kings,Forward,210,106.14,Canada,1995-11-05,6,12
1630177,Theo Maledon,Thunder,Guard,195,79.38,France,2001-06-12,1,34
1630572,Sandro Mamukelashvili,Bucks,Forward-Center,210,108.86,Georgia,1999-05-23,0,54
1629611,Terance Mann,Clippers,Guard-Forward,198,97.52,USA,1996-10-18,2,48
1630544,Tre Mann,Thunder,Guard,192,80.74,USA,2001-02-03,0,18
1626246,Boban Marjanovic,Mavericks,Center,222,131.54,Serbia,1988-08-15,6,Undrafted
1628374,Lauri Markkanen,Cavaliers,Forward-Center,186,108.86,Finland,1997-05-22,4,7
1630230,Naji Marshall,Pelicans,Forward,204,99.79,USA,1998-01-24,1,Undrafted
1628997,Caleb Martin,Heat,Forward,198,92.99,USA,1995-09-28,2,Undrafted
1628998,Cody Martin,Hornets,Forward,201,92.99,USA,1995-09-28,2,36
1630231,Kenyon Martin Jr.,Rockets,Forward,198,97.52,USA,2001-01-06,1,52
1629726,Garrison Mathews,Rockets,Guard,198,97.52,USA,1996-10-24,2,Undrafted
202083,Wesley Matthews,Bucks,Guard,195,99.79,USA,1986-10-14,12,Undrafted
1630178,Tyrese Maxey,76ers,Guard,188,90.72,USA,2000-11-04,1,21
1630219,Skylar Mays,Hawks,Guard,195,92.99,USA,1997-09-05,1,50
1630540,Miles McBride,Knicks,Guard,185,88.45,USA,2000-09-08,0,36
1630644,Mac McClung,Lakers,Guard,188,83.91,USA,1999-01-06,0,Undrafted
203468,CJ McCollum,Pelicans,Guard,192,86.18,USA,1991-09-19,8,10
204456,T.J. McConnell,Pacers,Guard,185,86.18,USA,1992-03-25,6,
1630183,Jaden McDaniels,Timberwolves,Forward,210,83.91,USA,2000-09-29,1,28
1629667,Jalen McDaniels,Hornets,Forward-Center,210,92.99,USA,1998-01-31,2,52
203926,Doug McDermott,Spurs,Forward,204,102.06,USA,1992-01-03,7,11
201580,JaVale McGee,Suns,Center-Forward,213,122.47,USA,1988-01-19,13,18
203585,Rodney McGruder,Pistons,Guard,195,92.99,USA,1991-07-29,5,Undrafted
1629162,Jordan McLaughlin,Timberwolves,Guard,155,83.91,USA,1996-04-09,2,Undrafted
203463,Ben McLemore,Trail Blazers,Guard,192,88.45,USA,1993-02-11,8,7
1629001,De'Anthony Melton,Grizzlies,Guard,188,90.72,USA,1998-05-28,3,46
1629002,Chimezie Metu,Kings,Forward-Center,210,102.06,USA,1997-03-22,3,49
203114,Khris Middleton,Bucks,Forward,204,100.7,USA,1991-08-12,9,39
201988,Patty Mills,Nets,Guard,182,81.65,Australia,1988-08-11,12,55
200794,Paul Millsap,76ers,Forward,204,116.57,USA,1985-02-10,15,47
1629003,Shake Milton,76ers,Guard-Forward,198,92.99,USA,1996-09-26,3,54
1630558,Davion Mitchell,Kings,Guard,182,91.63,USA,1998-09-05,0,9
1628378,Donovan Mitchell,Jazz,Guard,185,97.52,USA,1996-09-07,4,13
1630596,Evan Mobley,Cavaliers,Center,186,97.52,USA,2001-06-18,0,3
